timestamp,server_id,metric,value,unit,threshold,alert_triggered,incident_ref,notes
2025-05-16T01:45:00Z,DB-PROD-03,cpu_utilization,42.3,percent,90,false,,Normal operations
2025-05-16T01:50:00Z,DB-PROD-03,cpu_utilization,48.1,percent,90,false,,
2025-05-16T01:55:00Z,DB-PROD-03,connection_pool_usage,67.2,percent,95,false,,
2025-05-16T02:00:00Z,DB-PROD-03,connection_pool_usage,78.4,percent,95,false,,
2025-05-16T02:01:00Z,DB-PROD-03,query_latency_p99,2340,milliseconds,1000,true,INC-2045,Latency spike detected
2025-05-16T02:02:00Z,DB-PROD-03,connection_pool_usage,89.7,percent,95,false,INC-2045,Pool approaching threshold
2025-05-16T02:03:00Z,DB-PROD-03,connection_pool_usage,98.2,percent,95,true,INC-2045,CRITICAL: Pool near exhaustion
2025-05-16T02:03:47Z,DB-PROD-03,connection_pool_usage,100.0,percent,95,true,INC-2045,CRITICAL: Pool exhausted - all connections occupied
2025-05-16T02:04:00Z,DB-PROD-03,cpu_utilization,94.8,percent,90,true,INC-2045,CPU spike from full table scan
2025-05-16T02:04:12Z,AUTH-SVC-01,auth_failure_rate,87.3,percent,5,true,INC-2045,Authentication failures spiking
2025-05-16T02:05:00Z,AUTH-SVC-01,auth_failure_rate,99.1,percent,5,true,INC-2045,Near-complete auth failure
2025-05-16T02:07:00Z,AUTH-SVC-01,successful_logins_per_min,2,count,100,true,INC-2045,Authentication in degraded mode
2025-05-16T02:09:41Z,PAYROLL-SVC,job_execution_time,354,seconds,45,true,INC-2045,Payroll batch timeout (normal: 45s)
2025-05-16T02:17:00Z,AUTH-SVC-01,service_availability,0,percent,99.9,true,INC-2045,Auth service DOWN
2025-05-16T02:22:00Z,DB-PROD-03,failover_initiated,1,boolean,0,true,INC-2045,DR failover started
2025-05-16T02:45:00Z,DB-DR-01,service_availability,100,percent,99.9,false,INC-2045,Failover complete - DR cluster active
2025-05-16T03:12:00Z,PAYROLL-SVC,service_availability,100,percent,99.9,false,INC-2045,Payroll service restored
2025-05-16T04:51:22Z,DB-PROD-03,service_availability,100,percent,99.9,false,INC-2045,Full restoration confirmed
2025-05-16T05:00:00Z,DB-PROD-03,cpu_utilization,38.2,percent,90,false,INC-2045,Back to normal
2025-05-17T08:00:00Z,DB-PROD-03,connection_pool_usage,52.1,percent,80,false,,New threshold applied post-INC-2045
2025-05-17T08:00:00Z,DB-PROD-03,cpu_utilization,41.7,percent,90,false,,
2025-05-18T00:00:00Z,DB-PROD-03,connection_pool_usage,45.3,percent,80,false,,
2025-05-19T00:00:00Z,APP-SRV-01,cpu_utilization,61.2,percent,85,false,,Normal load
2025-05-19T00:00:00Z,APP-SRV-02,cpu_utilization,58.7,percent,85,false,,Normal load
2025-05-20T00:00:00Z,DB-PROD-01,connection_pool_usage,55.4,percent,80,false,,
2025-05-20T00:00:00Z,CACHE-PROD-01,cache_hit_rate,94.2,percent,90,false,,Cache performing well
